,creation_date,mean_neg_score,max_neg_score,mean_pos_score,max_pos_score,mean_compound_score,max_compound_score,mean_neu_score,max_neu_score,positive_posts,negative_posts,neutral_posts,neg_score,neg_posts
120,5/1/2018 0:00,0.051207343,0.3,0.074943844,0.507,0.161087257,0.9864,0.873887689,1,276,155,32,-0.051207343,-155
121,5/2/2018 0:00,0.049245315,0.262,0.077567291,0.326,0.181519761,0.9943,0.873190801,1,344,197,46,-0.049245315,-197
122,5/3/2018 0:00,0.05315493,0.329,0.074543036,0.351,0.129456338,0.9917,0.872302034,1,353,246,40,-0.05315493,-246
123,5/4/2018 0:00,0.050767241,0.462,0.080162069,0.384,0.217179138,0.9909,0.869093103,1,366,181,33,-0.050767241,-181
124,5/5/2018 0:00,0.048953039,0.331,0.08470442,0.372,0.205607459,0.9822,0.866320442,1,220,117,25,-0.048953039,-117
125,5/6/2018 0:00,0.04860274,0.307,0.076241096,0.348,0.196952877,0.9842,0.875172603,1,218,115,32,-0.04860274,-115
126,5/7/2018 0:00,0.045595855,0.288,0.078626943,0.312,0.219867358,0.9778,0.875784111,1,363,179,37,-0.045595855,-179
127,5/8/2018 0:00,0.049166124,0.429,0.078890879,0.343,0.199094137,0.9945,0.871925081,1,376,199,39,-0.049166124,-199
128,5/9/2018 0:00,0.054047002,0.447,0.073278768,0.358,0.133166288,0.9883,0.872669368,1,347,232,38,-0.054047002,-232
129,5/10/2018 0:00,0.049601386,0.387,0.077913345,0.359,0.179809879,0.9953,0.872488735,1,348,198,31,-0.049601386,-198
130,5/11/2018 0:00,0.050643243,0.346,0.07496036,0.311,0.164581802,0.9916,0.874394595,1,332,184,39,-0.050643243,-184
131,5/12/2018 0:00,0.052549296,0.318,0.078938028,0.289,0.187978873,0.9753,0.868495775,1,222,115,18,-0.052549296,-115
132,5/13/2018 0:00,0.045840361,0.351,0.074054217,0.423,0.171395482,0.9824,0.880108434,1,189,111,32,-0.045840361,-111
133,5/14/2018 0:00,0.047522361,0.308,0.077586762,0.309,0.187186047,0.988,0.874898032,1,334,179,46,-0.047522361,-179
134,5/15/2018 0:00,0.048004808,0.286,0.075491987,0.314,0.171886058,0.9865,0.87650641,1,373,205,46,-0.048004808,-205
135,5/16/2018 0:00,0.045498392,0.252,0.0765209,0.309,0.188623151,0.9905,0.877983923,1,366,209,47,-0.045498392,-209
136,5/17/2018 0:00,0.047562599,0.42,0.077283677,0.443,0.182708558,0.9953,0.875147385,1,371,211,49,-0.047562599,-211
137,5/18/2018 0:00,0.045670251,0.317,0.079698925,0.373,0.228532796,0.9953,0.874611111,1,348,165,45,-0.045670251,-165
138,5/19/2018 0:00,0.051699387,0.261,0.068647239,0.372,0.085003374,0.9869,0.879631902,1,166,129,31,-0.051699387,-129
139,5/20/2018 0:00,0.047985251,0.3,0.075554572,0.292,0.16419882,0.9944,0.876454277,1,197,110,32,-0.047985251,-110
140,5/21/2018 0:00,0.050449168,0.339,0.075290203,0.303,0.171557486,0.9874,0.87425878,1,315,178,48,-0.050449168,-178
141,5/22/2018 0:00,0.04912605,0.273,0.079457143,0.33,0.164673445,0.9852,0.871406723,1,346,198,51,-0.04912605,-198
142,5/23/2018 0:00,0.049051839,0.31,0.079710702,0.325,0.21891087,0.9911,0.871232441,1,369,190,39,-0.049051839,-190
143,5/24/2018 0:00,0.050384083,0.327,0.077750865,0.313,0.184756574,0.9885,0.871870242,1,339,202,37,-0.050384083,-202
144,5/25/2018 0:00,0.049136802,0.595,0.07405395,0.355,0.168718497,0.9922,0.876807322,1,298,180,41,-0.049136802,-180
145,5/26/2018 0:00,0.043949686,0.279,0.080440252,0.379,0.219570755,0.9826,0.875600629,1,197,95,26,-0.043949686,-95
146,5/27/2018 0:00,0.049931548,0.328,0.074863095,0.298,0.161360714,0.9971,0.875223214,1,190,113,33,-0.049931548,-113
147,5/28/2018 0:00,0.048273764,0.374,0.073944867,0.301,0.170740304,0.9845,0.877796578,1,306,174,46,-0.048273764,-174
148,5/29/2018 0:00,0.052703642,0.286,0.077993377,0.287,0.162986258,0.981,0.869289735,1,353,210,41,-0.052703642,-210
149,5/30/2018 0:00,0.050566225,0.403,0.077509934,0.301,0.170618377,0.9944,0.871933775,1,348,207,49,-0.050566225,-207
150,5/31/2018 0:00,0.045543796,0.255,0.077886861,0.271,0.212765511,0.991,0.876558394,1,334,173,41,-0.045543796,-173
