,text,category,importance,word_count,size
0,table,tableau,0.050095242,2201,20
1,tableau,tableau,0.04209647,1810,20
2,column,tableau,0.035794675,1685,20
3,field,tableau,0.030160662,1517,20
4,value,tableau,0.028469613,3540,20
5,filter,tableau,0.024671758,1050,20
6,power,tableau,0.020641902,917,20
7,would,tableau,0.01425934,3301,20
8,number,tableau,0.013713029,1397,20
9,month,tableau,0.013183919,534,20
10,count,tableau,0.013069413,634,20
11,total,tableau,0.013007549,558,20
12,report,tableau,0.01261514,608,20
13,using,tableau,0.01220416,6128,20
14,chart,tableau,0.01149864,609,20
15,create,tableau,0.011001079,2209,20
16,based,tableau,0.010937423,814,20
17,calculated,tableau,0.010799744,437,20
18,measure,tableau,0.008614525,368,20
19,customer,tableau,0.008575165,338,20
